Make,Model,Year,Body Type
Maruti Suzuki,Wagon R,2016,Hatchback
Maruti Suzuki,Wagon R,2015,Hatchback
Tata Motors,Altroz,2011,Hatchback
Honda,City,2013,Sedan
Hyundai,Venue,2010,SUV
Toyota,Urban Cruiser,2017,Crossover
Nissan India,Magnite,2012,SUV
Toyota,Fortuner,2015,MPV
Tata Motors,Altroz,2023,Hatchback
Nissan India,Magnite,2022,SUV
Hyundai,Venue,2023,SUV
Ford India,Figo,2018,Hatchback
Hyundai,i20,2020,Crossover
Tata Motors,Safari,2017,Crossover
Tata Motors,Nexon,2023,SUV
Mahindra,Marazzo,2023,MPV
Volkswagen India,Jetta,2022,Sedan
Volkswagen India,Tiguan,2017,Crossover
Nissan India,Magnite,2018,SUV
Nissan India,Sunny,2021,Sedan
Renault India,Duster,2020,SUV
Nissan India,Sunny,2021,Sedan
Tata Motors,Nexon,2017,SUV
Volkswagen India,Tiguan,2020,Crossover
Ford India,Endeavour,2022,Crossover
Maruti Suzuki,Dzire,2013,Crossover
Maruti Suzuki,Swift,2023,Hatchback
Honda,WR-V,2012,Crossover
Nissan India,Sunny,2020,Sedan
Toyota,Glanza,2014,Crossover
Honda,CR-V,2011,Crossover
Maruti Suzuki,Vitara Brezza,2013,SUV
Toyota,Glanza,2017,Crossover
Renault India,Captur,2023,SUV
Honda,City,2014,Sedan
Tata Motors,Nexon,2022,SUV
Toyota,Glanza,2012,Crossover
Tata Motors,Harrier,2011,Crossover
Toyota,Innova Crysta,2022,MPV
Honda,City,2023,Sedan
Nissan India,Sunny,2017,Sedan
Honda,WR-V,2015,Crossover
Renault India,Triber,2014,MPV
Toyota,Fortuner,2021,MPV
Maruti Suzuki,Alto,2016,Hatchback
Renault India,Captur,2017,SUV
Honda,Amaze,2012,Sedan
Nissan India,Magnite,2019,SUV
Toyota,Urban Cruiser,2014,Crossover
Mahindra,XUV700,2017,SUV
Toyota,Glanza,2014,Crossover
Volkswagen India,Jetta,2010,Sedan
Volkswagen India,Jetta,2018,Sedan
Tata Motors,Safari,2020,Crossover
Nissan India,Kicks,2019,SUV
Tata Motors,Harrier,2017,Crossover
Honda,WR-V,2017,Crossover
Mahindra,Thar,2010,SUV
Toyota,Glanza,2015,Crossover
Hyundai,i20,2021,Crossover
Nissan India,Kicks,2010,SUV
Renault India,Captur,2011,SUV
Tata Motors,Altroz,2015,Hatchback
Maruti Suzuki,Dzire,2017,Crossover
Renault India,Kwid,2020,Crossover
Renault India,Kwid,2020,Crossover
Mahindra,Bolero,2016,SUV
Hyundai,Venue,2020,SUV
Renault India,Triber,2018,MPV
Tata Motors,Altroz,2015,Hatchback
Toyota,Etios,2023,Sedan
Hyundai,Venue,2021,SUV
Volkswagen India,Tiguan,2022,Crossover
Maruti Suzuki,Dzire,2013,Crossover
Ford India,EcoSport,2023,SUV
Honda,CR-V,2016,Crossover
Honda,WR-V,2016,Crossover
Renault India,Duster,2015,SUV
Ford India,Endeavour,2017,Crossover
Honda,Jazz,2015,Hatchback
Renault India,Triber,2018,MPV
Honda,Jazz,2015,Hatchback
Honda,Amaze,2020,Sedan
Hyundai,Santro,2010,Hatchback
Volkswagen India,Tiguan,2020,Crossover
Toyota,Innova Crysta,2021,MPV
Mahindra,Marazzo,2021,MPV
Maruti Suzuki,Baleno,2016,Hatchback
Nissan India,Terrano,2016,Crossover
Honda,Jazz,2011,Hatchback
Hyundai,Santro,2016,Hatchback
Ford India,Endeavour,2020,Crossover
Hyundai,Venue,2017,SUV
Toyota,Fortuner,2011,MPV
Mahindra,Scorpio,2018,Crossover
Hyundai,Venue,2010,SUV
Hyundai,Tucson,2017,SUV
Ford India,Figo,2016,Hatchback
Hyundai,Venue,2021,SUV
Toyota,Glanza,2017,Crossover
Honda,Jazz,2023,Hatchback
Honda,City,2021,Sedan
Volkswagen India,Polo,2019,Hatchback
Renault India,Triber,2012,MPV
Ford India,Mustang,2011,Crossover
Renault India,Duster,2021,SUV
Mahindra,Bolero,2014,SUV
Nissan India,Kicks,2014,SUV
Maruti Suzuki,Dzire,2015,Crossover
Tata Motors,Harrier,2015,Crossover
Hyundai,i20,2022,Crossover
Renault India,Captur,2023,SUV
Mahindra,Bolero,2022,SUV
Honda,WR-V,2011,Crossover
Maruti Suzuki,Dzire,2018,Crossover
Ford India,Mustang,2021,Crossover
Toyota,Etios,2021,Sedan
Volkswagen India,Polo,2023,Hatchback
Hyundai,i20,2013,Crossover
Hyundai,Verna,2020,Sedan
Ford India,EcoSport,2013,SUV
Volkswagen India,Vento,2013,Sedan
Honda,Jazz,2018,Hatchback
Mahindra,Scorpio,2011,Crossover
Honda,WR-V,2016,Crossover
Honda,CR-V,2015,Crossover
Honda,City,2012,Sedan
Nissan India,Sunny,2023,Sedan
Maruti Suzuki,Baleno,2011,Hatchback
Toyota,Innova Crysta,2021,MPV
Ford India,Mustang,2012,Crossover
Tata Motors,Safari,2021,Crossover
Ford India,EcoSport,2011,SUV
Honda,City,2020,Sedan
Honda,Amaze,2018,Sedan
Maruti Suzuki,Baleno,2019,Hatchback
Tata Motors,Nexon,2017,SUV
Ford India,EcoSport,2013,SUV
Hyundai,Verna,2020,Sedan
Honda,WR-V,2021,Crossover
Honda,Jazz,2010,Hatchback
Volkswagen India,Vento,2017,Sedan
Hyundai,Santro,2012,Hatchback
Ford India,Mustang,2013,Crossover
Maruti Suzuki,Wagon R,2011,Hatchback
Tata Motors,Safari,2017,Crossover
Toyota,Innova Crysta,2018,MPV
Tata Motors,Altroz,2017,Hatchback
Hyundai,Venue,2012,SUV
Nissan India,Magnite,2023,SUV
Tata Motors,Altroz,2014,Hatchback
Volkswagen India,Polo,2014,Hatchback
Tata Motors,Tiago,2016,Hatchback
Mahindra,XUV700,2014,SUV
Nissan India,Terrano,2015,Crossover
Ford India,EcoSport,2019,SUV
Mahindra,Thar,2013,SUV
Volkswagen India,Tiguan,2019,Crossover
Maruti Suzuki,Dzire,2016,Crossover
Volkswagen India,Jetta,2016,Sedan
Volkswagen India,Jetta,2022,Sedan
Mahindra,Scorpio,2021,Crossover
Mahindra,Thar,2015,SUV
Honda,WR-V,2011,Crossover
Honda,Jazz,2010,Hatchback
Renault India,Kwid,2018,Crossover
Hyundai,Verna,2016,Sedan
Mahindra,Thar,2015,SUV
Honda,City,2018,Sedan
Maruti Suzuki,Wagon R,2014,Hatchback
Honda,Jazz,2017,Hatchback
Renault India,Kwid,2015,Crossover
Hyundai,Santro,2018,Hatchback
Maruti Suzuki,Baleno,2021,Hatchback
Ford India,Endeavour,2016,Crossover
Toyota,Urban Cruiser,2015,Crossover
Volkswagen India,Polo,2011,Hatchback
Renault India,Triber,2022,MPV
Nissan India,Magnite,2019,SUV
Toyota,Glanza,2013,Crossover
Honda,City,2014,Sedan
Honda,Amaze,2021,Sedan
Tata Motors,Tiago,2022,Hatchback
Toyota,Urban Cruiser,2015,Crossover
Mahindra,Marazzo,2021,MPV
Mahindra,Thar,2022,SUV
Ford India,Endeavour,2018,Crossover
Toyota,Innova Crysta,2018,MPV
Hyundai,Venue,2014,SUV
Renault India,Duster,2018,SUV
Mahindra,Scorpio,2016,Crossover
Volkswagen India,Polo,2014,Hatchback
Renault India,Triber,2012,MPV
Renault India,Kwid,2014,Crossover
Renault India,Triber,2016,MPV
Honda,City,2010,Sedan
Ford India,Figo,2011,Hatchback
Nissan India,Kicks,2013,SUV
Tata Motors,Tiago,2016,Hatchback
Hyundai,Venue,2020,SUV
Mahindra,Scorpio,2019,Crossover
Ford India,Endeavour,2015,Crossover
Tata Motors,Altroz,2016,Hatchback
Honda,Jazz,2021,Hatchback
Honda,Jazz,2013,Hatchback
Renault India,Triber,2018,MPV
Nissan India,Sunny,2015,Sedan
Maruti Suzuki,Alto,2014,Hatchback
Tata Motors,Nexon,2014,SUV
Nissan India,Sunny,2014,Sedan
Tata Motors,Altroz,2017,Hatchback
Honda,Jazz,2011,Hatchback
Honda,Jazz,2011,Hatchback
Nissan India,Kicks,2011,SUV
Ford India,Figo,2023,Hatchback
Renault India,Captur,2023,SUV
Toyota,Innova Crysta,2011,MPV
Volkswagen India,Tiguan,2022,Crossover
Toyota,Fortuner,2019,MPV
Honda,WR-V,2021,Crossover
Honda,CR-V,2017,Crossover
Honda,Jazz,2011,Hatchback
Nissan India,Kicks,2013,SUV
Mahindra,Thar,2012,SUV
Nissan India,Sunny,2021,Sedan
Maruti Suzuki,Dzire,2022,Crossover
Maruti Suzuki,Baleno,2013,Hatchback
Ford India,Mustang,2016,Crossover
Tata Motors,Nexon,2018,SUV
Tata Motors,Tiago,2017,Hatchback
Nissan India,Kicks,2011,SUV
Maruti Suzuki,Wagon R,2016,Hatchback
Ford India,Figo,2019,Hatchback
Renault India,Captur,2016,SUV
Nissan India,Sunny,2021,Sedan
Honda,Amaze,2022,Sedan
Mahindra,XUV700,2018,SUV
Maruti Suzuki,Wagon R,2021,Hatchback
Maruti Suzuki,Dzire,2016,Crossover
Honda,CR-V,2023,Crossover
Mahindra,Bolero,2022,SUV
Toyota,Fortuner,2014,MPV
Ford India,EcoSport,2017,SUV
Renault India,Triber,2018,MPV
Ford India,Figo,2018,Hatchback
Volkswagen India,Jetta,2010,Sedan
Tata Motors,Harrier,2022,Crossover
Renault India,Captur,2010,SUV
Volkswagen India,Jetta,2012,Sedan
Ford India,Mustang,2013,Crossover
Renault India,Kwid,2013,Crossover
Renault India,Triber,2018,MPV
Honda,WR-V,2023,Crossover
Honda,Jazz,2010,Hatchback
Ford India,EcoSport,2016,SUV
Honda,Jazz,2020,Hatchback
Tata Motors,Harrier,2021,Crossover
Honda,Jazz,2021,Hatchback
Hyundai,Santro,2016,Hatchback
Mahindra,XUV700,2011,SUV
Honda,Jazz,2013,Hatchback
Nissan India,Terrano,2022,Crossover
Renault India,Duster,2019,SUV
Ford India,Endeavour,2017,Crossover
Renault India,Kwid,2018,Crossover
Maruti Suzuki,Vitara Brezza,2023,SUV
Toyota,Urban Cruiser,2013,Crossover
Mahindra,Bolero,2023,SUV
Hyundai,Santro,2016,Hatchback
Toyota,Glanza,2014,Crossover
Mahindra,XUV700,2014,SUV
Maruti Suzuki,Vitara Brezza,2021,SUV
Tata Motors,Harrier,2016,Crossover
Hyundai,i20,2017,Crossover
Tata Motors,Tiago,2015,Hatchback
Nissan India,Kicks,2015,SUV
Volkswagen India,Jetta,2011,Sedan
Mahindra,Bolero,2018,SUV
Volkswagen India,Vento,2014,Sedan
Toyota,Urban Cruiser,2011,Crossover
Volkswagen India,Vento,2012,Sedan
Honda,Amaze,2020,Sedan
Nissan India,Kicks,2018,SUV
Hyundai,i20,2023,Crossover
Mahindra,Marazzo,2017,MPV
Honda,WR-V,2014,Crossover
Ford India,Figo,2014,Hatchback
Tata Motors,Safari,2021,Crossover
Honda,Amaze,2017,Sedan
Volkswagen India,Jetta,2020,Sedan
Mahindra,XUV700,2023,SUV
Nissan India,Sunny,2014,Sedan
Volkswagen India,Polo,2021,Hatchback
Hyundai,Venue,2013,SUV
Volkswagen India,Vento,2021,Sedan
Hyundai,i20,2018,Crossover
Hyundai,Tucson,2019,SUV
Maruti Suzuki,Baleno,2014,Hatchback
Hyundai,Verna,2014,Sedan
Maruti Suzuki,Baleno,2011,Hatchback
Honda,Amaze,2016,Sedan
Toyota,Innova Crysta,2016,MPV
Hyundai,i20,2016,Crossover
Renault India,Duster,2014,SUV
Tata Motors,Altroz,2015,Hatchback
Nissan India,Terrano,2011,Crossover
Ford India,EcoSport,2020,SUV
Mahindra,Scorpio,2011,Crossover
Toyota,Glanza,2022,Crossover
Nissan India,Terrano,2017,Crossover
Honda,Amaze,2010,Sedan
Hyundai,Santro,2020,Hatchback
Hyundai,Verna,2020,Sedan
Maruti Suzuki,Swift,2019,Hatchback
Honda,WR-V,2023,Crossover
Ford India,Mustang,2014,Crossover
Maruti Suzuki,Wagon R,2010,Hatchback
Hyundai,i20,2015,Crossover
Tata Motors,Nexon,2016,SUV
Maruti Suzuki,Baleno,2013,Hatchback
Maruti Suzuki,Dzire,2022,Crossover
Toyota,Urban Cruiser,2016,Crossover
Nissan India,Terrano,2015,Crossover
Honda,Jazz,2021,Hatchback
Ford India,EcoSport,2017,SUV
Toyota,Etios,2021,Sedan
Volkswagen India,Jetta,2014,Sedan
Renault India,Duster,2018,SUV
Mahindra,Bolero,2017,SUV
Tata Motors,Safari,2014,Crossover
Nissan India,Magnite,2013,SUV
Volkswagen India,Tiguan,2011,Crossover
Maruti Suzuki,Wagon R,2015,Hatchback
Volkswagen India,Jetta,2023,Sedan
Tata Motors,Tiago,2018,Hatchback
Hyundai,Tucson,2016,SUV
Volkswagen India,Vento,2018,Sedan
Honda,Jazz,2022,Hatchback
Nissan India,Kicks,2021,SUV
Renault India,Kwid,2016,Crossover
Nissan India,Kicks,2015,SUV
Renault India,Triber,2018,MPV
Mahindra,Scorpio,2020,Crossover
Hyundai,i20,2017,Crossover
Renault India,Kwid,2013,Crossover
Hyundai,Verna,2016,Sedan
Nissan India,Sunny,2013,Sedan
Ford India,Endeavour,2018,Crossover
Maruti Suzuki,Wagon R,2021,Hatchback
Volkswagen India,Polo,2015,Hatchback
Honda,CR-V,2012,Crossover
Hyundai,i20,2014,Crossover
Hyundai,Tucson,2013,SUV
Hyundai,i20,2018,Crossover
Mahindra,Thar,2010,SUV
Maruti Suzuki,Baleno,2018,Hatchback
Maruti Suzuki,Vitara Brezza,2013,SUV
Ford India,Endeavour,2012,Crossover
Honda,WR-V,2020,Crossover
Honda,City,2011,Sedan
Maruti Suzuki,Swift,2022,Hatchback
Tata Motors,Harrier,2013,Crossover
Nissan India,Magnite,2023,SUV
Ford India,Figo,2012,Hatchback
Mahindra,Marazzo,2020,MPV
Tata Motors,Harrier,2010,Crossover
Renault India,Duster,2021,SUV
Maruti Suzuki,Wagon R,2011,Hatchback
Honda,Amaze,2014,Sedan
Volkswagen India,Jetta,2021,Sedan
Mahindra,Marazzo,2018,MPV
Ford India,EcoSport,2017,SUV
Hyundai,Venue,2013,SUV
Honda,Jazz,2016,Hatchback
Hyundai,Creta,2019,SUV
Tata Motors,Nexon,2010,SUV
Honda,Amaze,2011,Sedan
Nissan India,Terrano,2012,Crossover
Tata Motors,Safari,2015,Crossover
Renault India,Duster,2017,SUV
Mahindra,XUV700,2018,SUV
Honda,Jazz,2019,Hatchback
Maruti Suzuki,Vitara Brezza,2014,SUV
Toyota,Urban Cruiser,2017,Crossover
Toyota,Fortuner,2012,MPV
Toyota,Fortuner,2014,MPV
Ford India,Figo,2013,Hatchback
Honda,Jazz,2011,Hatchback
Nissan India,Sunny,2018,Sedan
Toyota,Fortuner,2019,MPV
Honda,Amaze,2010,Sedan
Nissan India,Magnite,2020,SUV
Tata Motors,Harrier,2020,Crossover
Honda,WR-V,2021,Crossover
Mahindra,Thar,2012,SUV
Maruti Suzuki,Baleno,2016,Hatchback
Toyota,Urban Cruiser,2015,Crossover
Ford India,Figo,2010,Hatchback
Maruti Suzuki,Alto,2020,Hatchback
Mahindra,Bolero,2023,SUV
Hyundai,Creta,2022,SUV
Tata Motors,Altroz,2019,Hatchback
Hyundai,Santro,2015,Hatchback
Mahindra,Thar,2018,SUV
Nissan India,Sunny,2014,Sedan
Tata Motors,Harrier,2017,Crossover
Mahindra,Bolero,2014,SUV
Renault India,Triber,2016,MPV
Ford India,EcoSport,2020,SUV
Nissan India,Terrano,2013,Crossover
Renault India,Duster,2015,SUV
Tata Motors,Nexon,2012,SUV
Renault India,Kwid,2013,Crossover
Tata Motors,Harrier,2018,Crossover
Ford India,Endeavour,2022,Crossover
Toyota,Etios,2023,Sedan
Mahindra,Marazzo,2023,MPV
Ford India,Figo,2012,Hatchback
Hyundai,Tucson,2015,SUV
Honda,City,2012,Sedan
Honda,WR-V,2016,Crossover
Toyota,Etios,2017,Sedan
Tata Motors,Safari,2018,Crossover
Ford India,Endeavour,2022,Crossover
Hyundai,Verna,2017,Sedan
Renault India,Duster,2013,SUV
Honda,WR-V,2021,Crossover
Hyundai,Verna,2010,Sedan
Hyundai,Verna,2020,Sedan
Mahindra,Scorpio,2018,Crossover
Tata Motors,Harrier,2015,Crossover
Nissan India,Magnite,2012,SUV
Maruti Suzuki,Vitara Brezza,2019,SUV
Nissan India,Sunny,2010,Sedan
Volkswagen India,Jetta,2014,Sedan
Toyota,Innova Crysta,2020,MPV
Toyota,Urban Cruiser,2018,Crossover
Toyota,Etios,2023,Sedan
Honda,City,2020,Sedan
Volkswagen India,Polo,2016,Hatchback
Nissan India,Sunny,2020,Sedan
Hyundai,Venue,2013,SUV
Nissan India,Kicks,2019,SUV
Renault India,Duster,2021,SUV
Volkswagen India,Jetta,2014,Sedan
Tata Motors,Altroz,2021,Hatchback
Hyundai,i20,2020,Crossover
Toyota,Fortuner,2023,MPV
Toyota,Glanza,2020,Crossover
Mahindra,XUV700,2011,SUV
Toyota,Etios,2016,Sedan
Volkswagen India,Polo,2010,Hatchback
Maruti Suzuki,Alto,2014,Hatchback
Maruti Suzuki,Swift,2016,Hatchback
Renault India,Duster,2013,SUV
Nissan India,Sunny,2013,Sedan
Maruti Suzuki,Vitara Brezza,2023,SUV
Nissan India,Terrano,2011,Crossover
Hyundai,Venue,2016,SUV
Nissan India,Kicks,2019,SUV
Volkswagen India,Tiguan,2012,Crossover
Maruti Suzuki,Swift,2016,Hatchback
Toyota,Fortuner,2012,MPV
Volkswagen India,Polo,2011,Hatchback
Tata Motors,Safari,2020,Crossover
Maruti Suzuki,Swift,2016,Hatchback
Mahindra,Thar,2022,SUV
Hyundai,Creta,2020,SUV
Tata Motors,Tiago,2022,Hatchback
Honda,CR-V,2016,Crossover
Honda,City,2022,Sedan
Nissan India,Sunny,2013,Sedan
Mahindra,XUV700,2022,SUV
Volkswagen India,Tiguan,2017,Crossover
Honda,Jazz,2013,Hatchback
Hyundai,Santro,2017,Hatchback
Toyota,Urban Cruiser,2015,Crossover
Mahindra,Bolero,2018,SUV
Mahindra,Thar,2012,SUV
Toyota,Etios,2021,Sedan
Nissan India,Kicks,2010,SUV
Tata Motors,Harrier,2015,Crossover
Toyota,Glanza,2023,Crossover
Nissan India,Terrano,2017,Crossover
Tata Motors,Nexon,2021,SUV
Toyota,Innova Crysta,2014,MPV
Toyota,Innova Crysta,2023,MPV
Hyundai,Creta,2022,SUV
Hyundai,Creta,2022,SUV
Toyota,Fortuner,2021,MPV
Nissan India,Kicks,2016,SUV
Ford India,EcoSport,2012,SUV
Toyota,Fortuner,2015,MPV
Hyundai,Santro,2017,Hatchback
Mahindra,Bolero,2012,SUV
Mahindra,Bolero,2014,SUV
Toyota,Glanza,2022,Crossover
Renault India,Duster,2023,SUV
Tata Motors,Safari,2018,Crossover
Renault India,Triber,2018,MPV
Renault India,Captur,2019,SUV
Ford India,EcoSport,2014,SUV
Toyota,Etios,2012,Sedan
Tata Motors,Safari,2018,Crossover
Hyundai,Santro,2014,Hatchback
Volkswagen India,Polo,2014,Hatchback
Tata Motors,Harrier,2012,Crossover
Toyota,Innova Crysta,2022,MPV
Volkswagen India,Tiguan,2020,Crossover
Tata Motors,Safari,2018,Crossover
Renault India,Triber,2015,MPV
Volkswagen India,Tiguan,2021,Crossover
Volkswagen India,Vento,2022,Sedan
Tata Motors,Altroz,2014,Hatchback
Mahindra,Bolero,2023,SUV
Hyundai,i20,2023,Crossover
Hyundai,i20,2012,Crossover
Hyundai,i20,2010,Crossover
Nissan India,Kicks,2012,SUV
Ford India,Figo,2014,Hatchback
Nissan India,Magnite,2016,SUV
Mahindra,Marazzo,2019,MPV
Renault India,Captur,2018,SUV
Mahindra,Scorpio,2023,Crossover
Honda,CR-V,2020,Crossover
Nissan India,Kicks,2016,SUV
Volkswagen India,Polo,2015,Hatchback
Hyundai,Creta,2017,SUV
Toyota,Etios,2016,Sedan
Nissan India,Terrano,2018,Crossover
Hyundai,Santro,2015,Hatchback
Renault India,Duster,2014,SUV
Nissan India,Sunny,2021,Sedan
Maruti Suzuki,Baleno,2022,Hatchback
Hyundai,Venue,2023,SUV
Renault India,Triber,2014,MPV
Maruti Suzuki,Dzire,2019,Crossover
Hyundai,Venue,2018,SUV
Renault India,Triber,2023,MPV
Ford India,EcoSport,2020,SUV
Renault India,Kwid,2011,Crossover
Ford India,Endeavour,2013,Crossover
Ford India,Mustang,2015,Crossover
Renault India,Triber,2010,MPV
Volkswagen India,Vento,2016,Sedan
Maruti Suzuki,Dzire,2017,Crossover
Mahindra,Marazzo,2015,MPV
Hyundai,Verna,2014,Sedan
Honda,CR-V,2023,Crossover
Renault India,Kwid,2019,Crossover
Mahindra,Marazzo,2014,MPV
Renault India,Captur,2014,SUV
Mahindra,Marazzo,2016,MPV
Toyota,Etios,2020,Sedan
Tata Motors,Altroz,2016,Hatchback
Nissan India,Magnite,2014,SUV
Hyundai,Tucson,2013,SUV
Toyota,Etios,2020,Sedan
Mahindra,Scorpio,2016,Crossover
Tata Motors,Safari,2013,Crossover
Volkswagen India,Jetta,2018,Sedan
Renault India,Captur,2014,SUV
Renault India,Captur,2016,SUV
Hyundai,Tucson,2023,SUV
Volkswagen India,Polo,2010,Hatchback
Nissan India,Terrano,2017,Crossover
Volkswagen India,Polo,2019,Hatchback
Mahindra,Thar,2010,SUV
Toyota,Glanza,2015,Crossover
Ford India,Figo,2022,Hatchback
Hyundai,Venue,2016,SUV
Renault India,Captur,2016,SUV
Maruti Suzuki,Wagon R,2013,Hatchback
Ford India,Mustang,2021,Crossover
Honda,City,2014,Sedan
Nissan India,Terrano,2015,Crossover
Volkswagen India,Jetta,2011,Sedan
Hyundai,Verna,2020,Sedan
Volkswagen India,Jetta,2021,Sedan
Hyundai,Creta,2023,SUV
Volkswagen India,Jetta,2012,Sedan
Honda,City,2021,Sedan
Volkswagen India,Jetta,2021,Sedan
Maruti Suzuki,Alto,2013,Hatchback
Renault India,Duster,2023,SUV
Hyundai,Creta,2014,SUV
Mahindra,Scorpio,2014,Crossover
Volkswagen India,Polo,2018,Hatchback
Ford India,Figo,2012,Hatchback
Honda,Jazz,2014,Hatchback
Nissan India,Magnite,2019,SUV
Renault India,Kwid,2019,Crossover
Maruti Suzuki,Baleno,2013,Hatchback
Ford India,Mustang,2019,Crossover
Tata Motors,Tiago,2016,Hatchback
Ford India,Endeavour,2014,Crossover
Ford India,Endeavour,2018,Crossover
Hyundai,i20,2015,Crossover
Nissan India,Terrano,2022,Crossover
Hyundai,Creta,2021,SUV
Renault India,Captur,2018,SUV
Hyundai,Venue,2013,SUV
Mahindra,Scorpio,2022,Crossover
Maruti Suzuki,Baleno,2014,Hatchback
Renault India,Triber,2017,MPV
Hyundai,Tucson,2016,SUV
Toyota,Etios,2010,Sedan
Renault India,Duster,2022,SUV
Volkswagen India,Tiguan,2018,Crossover
Toyota,Glanza,2016,Crossover
Volkswagen India,Vento,2012,Sedan
Tata Motors,Altroz,2022,Hatchback
Toyota,Fortuner,2010,MPV
Nissan India,Kicks,2011,SUV
Volkswagen India,Vento,2010,Sedan
Tata Motors,Nexon,2013,SUV
Toyota,Etios,2011,Sedan
Maruti Suzuki,Wagon R,2022,Hatchback
Maruti Suzuki,Swift,2015,Hatchback
Tata Motors,Altroz,2015,Hatchback
Volkswagen India,Tiguan,2021,Crossover
Hyundai,Creta,2011,SUV
Tata Motors,Safari,2020,Crossover
Volkswagen India,Tiguan,2023,Crossover
Hyundai,Venue,2013,SUV
Honda,WR-V,2018,Crossover
Maruti Suzuki,Wagon R,2015,Hatchback
Nissan India,Magnite,2017,SUV
Ford India,Mustang,2021,Crossover
Nissan India,Kicks,2014,SUV
Renault India,Triber,2015,MPV
Renault India,Triber,2018,MPV
Honda,Jazz,2016,Hatchback
Mahindra,Marazzo,2013,MPV
Tata Motors,Harrier,2014,Crossover
Volkswagen India,Tiguan,2012,Crossover
Toyota,Urban Cruiser,2018,Crossover
Honda,WR-V,2022,Crossover
Hyundai,Santro,2013,Hatchback
Tata Motors,Tiago,2010,Hatchback
Hyundai,Santro,2019,Hatchback
Honda,City,2012,Sedan
Honda,Amaze,2023,Sedan
Toyota,Urban Cruiser,2017,Crossover
Maruti Suzuki,Wagon R,2014,Hatchback
Volkswagen India,Vento,2018,Sedan
Volkswagen India,Vento,2018,Sedan
Renault India,Captur,2013,SUV
Tata Motors,Harrier,2023,Crossover
Ford India,EcoSport,2011,SUV
Nissan India,Kicks,2022,SUV
Renault India,Kwid,2022,Crossover
Toyota,Innova Crysta,2018,MPV
Volkswagen India,Polo,2019,Hatchback
Ford India,EcoSport,2015,SUV
Tata Motors,Harrier,2016,Crossover
Hyundai,Creta,2020,SUV
Tata Motors,Tiago,2012,Hatchback
Ford India,Endeavour,2012,Crossover
Tata Motors,Tiago,2022,Hatchback
Maruti Suzuki,Dzire,2013,Crossover
Tata Motors,Nexon,2018,SUV
Volkswagen India,Tiguan,2018,Crossover
Maruti Suzuki,Alto,2021,Hatchback
Honda,CR-V,2023,Crossover
Toyota,Urban Cruiser,2022,Crossover
Honda,CR-V,2011,Crossover
Toyota,Innova Crysta,2023,MPV
Mahindra,Scorpio,2022,Crossover
Tata Motors,Tiago,2011,Hatchback
Maruti Suzuki,Vitara Brezza,2010,SUV
Maruti Suzuki,Baleno,2019,Hatchback
Maruti Suzuki,Swift,2010,Hatchback
Tata Motors,Harrier,2012,Crossover
Maruti Suzuki,Swift,2013,Hatchback
Hyundai,Venue,2011,SUV
Ford India,Endeavour,2021,Crossover
Tata Motors,Tiago,2020,Hatchback
Ford India,Figo,2017,Hatchback
Ford India,Figo,2011,Hatchback
Honda,WR-V,2011,Crossover
Volkswagen India,Jetta,2014,Sedan
Hyundai,Santro,2020,Hatchback
Mahindra,XUV700,2020,SUV
Nissan India,Sunny,2017,Sedan
Maruti Suzuki,Dzire,2010,Crossover
Toyota,Urban Cruiser,2012,Crossover
Maruti Suzuki,Alto,2011,Hatchback
Mahindra,Thar,2015,SUV
Maruti Suzuki,Alto,2018,Hatchback
Maruti Suzuki,Baleno,2017,Hatchback
Ford India,Endeavour,2011,Crossover
Tata Motors,Altroz,2023,Hatchback
Toyota,Etios,2016,Sedan
Honda,CR-V,2019,Crossover
Ford India,Endeavour,2014,Crossover
Volkswagen India,Vento,2014,Sedan
Ford India,Endeavour,2021,Crossover
Toyota,Fortuner,2014,MPV
Toyota,Urban Cruiser,2019,Crossover
Volkswagen India,Tiguan,2017,Crossover
Maruti Suzuki,Baleno,2020,Hatchback
Tata Motors,Harrier,2020,Crossover
Renault India,Captur,2019,SUV
Nissan India,Magnite,2012,SUV
Volkswagen India,Tiguan,2010,Crossover
Nissan India,Sunny,2014,Sedan
Maruti Suzuki,Vitara Brezza,2011,SUV
Honda,City,2010,Sedan
Nissan India,Sunny,2023,Sedan
Honda,WR-V,2011,Crossover
Nissan India,Sunny,2017,Sedan
Renault India,Kwid,2019,Crossover
Nissan India,Sunny,2012,Sedan
Renault India,Duster,2022,SUV
Ford India,Endeavour,2022,Crossover
Nissan India,Terrano,2018,Crossover
Ford India,Mustang,2011,Crossover
Hyundai,Creta,2022,SUV
Ford India,Figo,2023,Hatchback
Hyundai,Santro,2013,Hatchback
Tata Motors,Harrier,2011,Crossover
Ford India,Endeavour,2022,Crossover
Nissan India,Magnite,2018,SUV
Toyota,Fortuner,2010,MPV
Tata Motors,Nexon,2022,SUV
Ford India,Mustang,2015,Crossover
Renault India,Duster,2011,SUV
Honda,City,2017,Sedan
Toyota,Fortuner,2012,MPV
Maruti Suzuki,Vitara Brezza,2011,SUV
Mahindra,Scorpio,2017,Crossover
Mahindra,Marazzo,2013,MPV
Renault India,Captur,2016,SUV
Hyundai,i20,2012,Crossover
Hyundai,Tucson,2019,SUV
Hyundai,Venue,2014,SUV
Honda,Amaze,2016,Sedan
Toyota,Etios,2012,Sedan
