Vehicle Type,Brand,Model,Year,Range (km),Top Speed (km/h)
Car,Hyundai,Kona Electric,2023,272,73
Car,Hyundai,Kona Electric,2021,144,128
Car,MG,ZS EV,2019,293,89
Bike,Tork Motors,Kratos,2022,284,175
Scooter,Ather,450X,2023,263,81
Car,Hyundai,Kona Electric,2022,364,104
Scooter,Bajaj,Chetak,2020,462,75
Car,MG,ZS EV,2022,140,74
Scooter,Hero Electric,Optima,2020,398,151
Bike,Ultraviolette,F77,2023,464,179
Car,BYD,Atto 3,2022,364,124
Car,Hyundai,Kona Electric,2022,136,121
Scooter,Ather,450X,2019,160,160
Scooter,Ola Electric,S1 Pro,2019,387,60
Bike,PURE EV,eTryst 350,2020,480,130
Bike,Ultraviolette,F77,2020,373,111
Scooter,Ola Electric,S1 Pro,2020,487,81
Car,MG,ZS EV,2019,466,162
Car,Hyundai,Kona Electric,2019,207,154
Car,BYD,Atto 3,2021,397,149
Scooter,Ola Electric,S1 Pro,2019,97,60
Scooter,TVS,iQube,2023,266,75
Bike,PURE EV,eTryst 350,2023,205,176
Bike,Revolt Motors,RV400,2023,308,65
Bike,Tork Motors,Kratos,2020,364,64
Bike,Ultraviolette,F77,2019,360,128
Car,BYD,Atto 3,2019,146,173
Bike,Revolt Motors,RV400,2022,484,102
Bike,PURE EV,eTryst 350,2020,123,164
Scooter,Ather,450X,2022,432,61
Car,Mahindra,eVerito,2023,355,102
Bike,Revolt Motors,RV400,2020,94,95
Car,Tata Motors,Nexon EV,2020,410,83
Car,BYD,Atto 3,2022,104,161
Car,Hyundai,Kona Electric,2019,404,70
Scooter,TVS,iQube,2023,432,103
Scooter,TVS,iQube,2022,473,100
Car,Hyundai,Kona Electric,2021,136,158
Car,BYD,Atto 3,2021,329,136
Car,Hyundai,Kona Electric,2020,432,176
Car,Mahindra,eVerito,2022,173,64
Bike,PURE EV,eTryst 350,2020,276,161
Bike,Oben Electric,Rorr,2022,95,170
Scooter,Hero Electric,Optima,2020,488,124
Car,BYD,Atto 3,2021,166,144
Scooter,Bajaj,Chetak,2020,152,147
Car,Mahindra,eVerito,2023,203,119
Car,Tata Motors,Nexon EV,2020,158,72
Scooter,TVS,iQube,2023,439,165
Bike,PURE EV,eTryst 350,2020,416,151
Car,Mahindra,eVerito,2020,230,89
Bike,Revolt Motors,RV400,2021,307,165
Bike,PURE EV,eTryst 350,2021,232,126
Scooter,Ather,450X,2020,305,88
Bike,PURE EV,eTryst 350,2023,241,126
Car,BYD,Atto 3,2019,325,132
Bike,Revolt Motors,RV400,2023,265,134
Car,MG,ZS EV,2020,221,76
Car,MG,ZS EV,2022,110,129
Car,Hyundai,Kona Electric,2019,384,146
Scooter,Hero Electric,Optima,2023,279,153
Car,Hyundai,Kona Electric,2023,192,82
Scooter,Bajaj,Chetak,2019,478,92
Bike,Ultraviolette,F77,2023,315,73
Car,Hyundai,Kona Electric,2022,184,177
Bike,Ultraviolette,F77,2019,471,72
Bike,Ultraviolette,F77,2023,195,162
Bike,Ultraviolette,F77,2023,390,179
Car,MG,ZS EV,2023,135,156
Scooter,TVS,iQube,2023,134,72
Car,Mahindra,eVerito,2019,176,131
Scooter,Ather,450X,2019,383,89
Scooter,Ather,450X,2019,393,87
Scooter,Hero Electric,Optima,2020,237,100
Bike,Revolt Motors,RV400,2020,371,172
Scooter,Bajaj,Chetak,2019,240,111
Car,MG,ZS EV,2019,364,112
Bike,Ultraviolette,F77,2019,192,115
Scooter,Bajaj,Chetak,2023,147,83
Scooter,Bajaj,Chetak,2023,154,140
Scooter,TVS,iQube,2020,265,93
Scooter,Bajaj,Chetak,2022,470,176
Car,MG,ZS EV,2022,404,134
Scooter,Hero Electric,Optima,2020,200,76
Bike,Oben Electric,Rorr,2023,465,133
Car,Tata Motors,Nexon EV,2023,77,71
Bike,Tork Motors,Kratos,2019,418,82
Scooter,Ather,450X,2023,87,80
Bike,Revolt Motors,RV400,2020,88,170
Scooter,Ola Electric,S1 Pro,2023,234,60
Car,Mahindra,eVerito,2021,443,111
Car,Tata Motors,Nexon EV,2022,336,140
Scooter,TVS,iQube,2023,127,134
Scooter,Ola Electric,S1 Pro,2023,335,117
Bike,Tork Motors,Kratos,2023,396,124
Car,Mahindra,eVerito,2023,146,127
Car,BYD,Atto 3,2021,93,67
Bike,Ultraviolette,F77,2023,364,102
Bike,Revolt Motors,RV400,2023,279,138
Car,MG,ZS EV,2022,161,165
Bike,Tork Motors,Kratos,2021,94,153
Scooter,Ola Electric,S1 Pro,2019,223,62
Bike,Revolt Motors,RV400,2022,276,86
Scooter,Ola Electric,S1 Pro,2021,297,138
Scooter,Hero Electric,Optima,2021,444,122
Car,BYD,Atto 3,2019,412,106
Bike,Revolt Motors,RV400,2022,119,63
Scooter,TVS,iQube,2022,176,177
Scooter,Ather,450X,2020,439,123
Car,MG,ZS EV,2021,158,85
Scooter,TVS,iQube,2019,246,135
Bike,Ultraviolette,F77,2023,342,118
Bike,Revolt Motors,RV400,2022,254,100
Car,Mahindra,eVerito,2021,233,76
Scooter,TVS,iQube,2021,390,67
Scooter,TVS,iQube,2023,435,125
Bike,Ultraviolette,F77,2019,79,150
Scooter,Ather,450X,2023,232,88
Car,BYD,Atto 3,2019,289,169
Bike,Oben Electric,Rorr,2020,350,107
Bike,Ultraviolette,F77,2020,348,111
Scooter,Ola Electric,S1 Pro,2019,487,114
Scooter,TVS,iQube,2021,237,109
Car,MG,ZS EV,2023,396,61
Car,Mahindra,eVerito,2019,435,78
Car,MG,ZS EV,2021,125,71
Scooter,Hero Electric,Optima,2023,336,103
Scooter,Bajaj,Chetak,2020,381,107
Scooter,Ola Electric,S1 Pro,2020,263,179
Car,Mahindra,eVerito,2022,445,112
Car,Mahindra,eVerito,2021,219,107
Car,Hyundai,Kona Electric,2022,300,61
Car,Mahindra,eVerito,2019,420,64
Scooter,Ather,450X,2020,429,115
Bike,Tork Motors,Kratos,2022,464,156
Scooter,Bajaj,Chetak,2020,475,120
Bike,Tork Motors,Kratos,2020,420,156
Scooter,Bajaj,Chetak,2022,87,179
Scooter,Ola Electric,S1 Pro,2022,261,77
Scooter,Bajaj,Chetak,2023,194,151
Scooter,Ola Electric,S1 Pro,2022,396,108
Car,Mahindra,eVerito,2020,380,107
Bike,Tork Motors,Kratos,2023,425,67
Car,MG,ZS EV,2021,457,164
Scooter,Ather,450X,2021,444,154
Car,MG,ZS EV,2023,385,130
Car,Mahindra,eVerito,2020,121,75
Bike,Oben Electric,Rorr,2021,494,134
Bike,Ultraviolette,F77,2022,253,126
Car,Mahindra,eVerito,2021,166,91
Bike,Oben Electric,Rorr,2020,265,80
Car,Hyundai,Kona Electric,2019,262,174
Scooter,Ola Electric,S1 Pro,2023,302,111
Bike,PURE EV,eTryst 350,2023,132,76
Car,Hyundai,Kona Electric,2021,485,171
Scooter,Ola Electric,S1 Pro,2022,365,68
Scooter,Ola Electric,S1 Pro,2022,172,91
Scooter,Ola Electric,S1 Pro,2021,279,145
Car,Hyundai,Kona Electric,2019,221,114
Bike,PURE EV,eTryst 350,2020,147,159
Car,BYD,Atto 3,2021,274,143
Car,BYD,Atto 3,2019,279,151
Scooter,Hero Electric,Optima,2019,484,161
Bike,Oben Electric,Rorr,2020,267,120
Car,BYD,Atto 3,2021,454,117
Bike,Tork Motors,Kratos,2021,197,109
Bike,Ultraviolette,F77,2019,326,129
Bike,Oben Electric,Rorr,2019,109,162
Bike,Ultraviolette,F77,2019,405,83
Car,Hyundai,Kona Electric,2021,198,101
Scooter,Bajaj,Chetak,2022,152,118
Scooter,Ola Electric,S1 Pro,2021,276,64
Bike,Ultraviolette,F77,2022,491,167
Car,Hyundai,Kona Electric,2020,276,92
Car,Mahindra,eVerito,2022,385,139
Car,MG,ZS EV,2022,317,87
Car,Mahindra,eVerito,2021,488,78
Bike,Ultraviolette,F77,2023,221,78
Bike,Oben Electric,Rorr,2021,191,80
Scooter,Ather,450X,2019,405,104
Scooter,TVS,iQube,2023,372,161
Scooter,TVS,iQube,2020,285,139
Car,Hyundai,Kona Electric,2021,181,154
Car,Tata Motors,Nexon EV,2022,98,72
Bike,Revolt Motors,RV400,2021,168,69
Scooter,Bajaj,Chetak,2020,470,86
Car,BYD,Atto 3,2019,148,85
Scooter,TVS,iQube,2022,466,67
Bike,Ultraviolette,F77,2020,433,128
Scooter,Hero Electric,Optima,2022,429,127
Car,MG,ZS EV,2019,450,131
Scooter,Bajaj,Chetak,2021,203,60
Bike,Ultraviolette,F77,2023,398,95
Car,MG,ZS EV,2021,113,102
Car,BYD,Atto 3,2022,416,105
Scooter,Bajaj,Chetak,2021,331,172
Bike,Ultraviolette,F77,2020,439,86
Bike,Ultraviolette,F77,2022,351,60
Scooter,Hero Electric,Optima,2023,118,169
Bike,Ultraviolette,F77,2021,368,169
Scooter,TVS,iQube,2021,409,145
Car,Mahindra,eVerito,2022,169,82
Car,BYD,Atto 3,2023,86,121
Bike,Ultraviolette,F77,2021,221,167
Car,Tata Motors,Nexon EV,2021,80,105
Car,Mahindra,eVerito,2020,442,101
Car,MG,ZS EV,2019,387,144
Car,BYD,Atto 3,2019,323,64
Bike,Revolt Motors,RV400,2022,390,112
Car,MG,ZS EV,2019,449,136
Car,BYD,Atto 3,2019,249,138
Scooter,Ather,450X,2021,252,86
Bike,Oben Electric,Rorr,2020,355,157
Car,Mahindra,eVerito,2021,83,65
Scooter,Ather,450X,2019,286,166
Scooter,Ather,450X,2019,327,125
Bike,Oben Electric,Rorr,2022,351,100
Bike,Oben Electric,Rorr,2023,288,99
Bike,PURE EV,eTryst 350,2022,451,109
Car,BYD,Atto 3,2021,403,101
Car,Hyundai,Kona Electric,2019,478,156
Scooter,TVS,iQube,2022,253,83
Scooter,Bajaj,Chetak,2020,99,90
Scooter,TVS,iQube,2019,478,139
Car,BYD,Atto 3,2020,336,130
Bike,Ultraviolette,F77,2019,156,136
Scooter,Bajaj,Chetak,2023,193,99
Bike,PURE EV,eTryst 350,2019,85,98
Scooter,Hero Electric,Optima,2023,481,139
Scooter,Ather,450X,2019,145,125
Scooter,TVS,iQube,2022,463,174
Car,Hyundai,Kona Electric,2022,253,136
Scooter,Ola Electric,S1 Pro,2023,146,123
Bike,PURE EV,eTryst 350,2019,247,102
Bike,PURE EV,eTryst 350,2023,402,91
Scooter,TVS,iQube,2021,412,132
Bike,Revolt Motors,RV400,2019,222,121
Car,Hyundai,Kona Electric,2020,361,109
Car,Mahindra,eVerito,2020,116,147
Car,Mahindra,eVerito,2022,243,142
Scooter,TVS,iQube,2021,106,152
Scooter,Ola Electric,S1 Pro,2020,121,66
Scooter,Ather,450X,2023,464,150
Scooter,Bajaj,Chetak,2021,417,140
Scooter,Hero Electric,Optima,2023,292,114
Scooter,Hero Electric,Optima,2021,429,68
Car,Hyundai,Kona Electric,2022,266,98
Scooter,Hero Electric,Optima,2020,193,151
Scooter,Ather,450X,2020,286,151
Bike,PURE EV,eTryst 350,2019,413,112
Bike,Ultraviolette,F77,2020,436,128
Scooter,Ola Electric,S1 Pro,2019,173,166
Car,MG,ZS EV,2021,322,69
Car,BYD,Atto 3,2023,497,106
Bike,Revolt Motors,RV400,2021,290,88
Scooter,Ather,450X,2022,463,136
Bike,Revolt Motors,RV400,2021,79,146
Bike,Ultraviolette,F77,2022,225,63
Bike,Ultraviolette,F77,2022,255,74
Bike,Tork Motors,Kratos,2021,75,117
Scooter,Ather,450X,2020,82,86
Bike,PURE EV,eTryst 350,2022,471,133
Scooter,Hero Electric,Optima,2022,165,135
Car,Mahindra,eVerito,2021,199,123
Car,Hyundai,Kona Electric,2020,94,128
Bike,Revolt Motors,RV400,2020,428,60
Bike,Revolt Motors,RV400,2021,131,178
Car,Mahindra,eVerito,2020,461,73
Bike,Tork Motors,Kratos,2019,391,161
Car,Mahindra,eVerito,2021,138,159
Car,Mahindra,eVerito,2022,328,72
Car,Mahindra,eVerito,2023,372,106
Scooter,Bajaj,Chetak,2020,167,144
Bike,Ultraviolette,F77,2019,353,145
Bike,Oben Electric,Rorr,2022,173,99
Car,Tata Motors,Nexon EV,2023,97,130
Bike,PURE EV,eTryst 350,2022,225,123
Car,Tata Motors,Nexon EV,2021,479,63
Car,Hyundai,Kona Electric,2022,204,153
Car,Hyundai,Kona Electric,2020,198,102
Scooter,Bajaj,Chetak,2023,224,81
Bike,Revolt Motors,RV400,2021,248,172
Scooter,Ather,450X,2019,488,147
Scooter,Bajaj,Chetak,2023,350,84
Scooter,Hero Electric,Optima,2019,447,68
Bike,Ultraviolette,F77,2019,494,170
Bike,Ultraviolette,F77,2022,82,105
Car,Mahindra,eVerito,2023,196,123
Scooter,Bajaj,Chetak,2019,280,152
Car,Tata Motors,Nexon EV,2023,342,71
Bike,Revolt Motors,RV400,2021,132,116
Car,MG,ZS EV,2020,85,113
Scooter,Ather,450X,2021,279,138
Car,Hyundai,Kona Electric,2019,88,140
Scooter,Ather,450X,2019,229,100
Car,Mahindra,eVerito,2022,276,142
Bike,Ultraviolette,F77,2019,134,165
Car,Mahindra,eVerito,2022,354,135
Scooter,Hero Electric,Optima,2021,167,99
Car,MG,ZS EV,2021,203,85
Scooter,TVS,iQube,2019,314,139
Car,Tata Motors,Nexon EV,2019,77,110
Car,Tata Motors,Nexon EV,2019,403,88
Scooter,Ather,450X,2023,227,158
Car,Mahindra,eVerito,2020,229,64
Bike,Tork Motors,Kratos,2022,242,164
Scooter,Hero Electric,Optima,2021,239,111
Car,Tata Motors,Nexon EV,2022,197,151
Car,Hyundai,Kona Electric,2021,474,125
Scooter,Ola Electric,S1 Pro,2019,475,64
Bike,Ultraviolette,F77,2020,428,172
Bike,Ultraviolette,F77,2023,371,94
Scooter,Ola Electric,S1 Pro,2019,110,165
Car,Tata Motors,Nexon EV,2020,280,149
Scooter,Hero Electric,Optima,2021,427,127
Scooter,Hero Electric,Optima,2022,167,173
Car,Hyundai,Kona Electric,2019,361,180
Car,Tata Motors,Nexon EV,2021,340,110
Scooter,Ather,450X,2020,295,143
Bike,Ultraviolette,F77,2023,404,72
Scooter,Hero Electric,Optima,2021,190,106
Bike,Ultraviolette,F77,2023,281,126
Bike,PURE EV,eTryst 350,2021,110,109
Bike,Revolt Motors,RV400,2020,487,127
Scooter,Hero Electric,Optima,2019,245,144
Car,MG,ZS EV,2023,234,95
Bike,Oben Electric,Rorr,2022,215,81
Car,Mahindra,eVerito,2022,215,178
Car,Tata Motors,Nexon EV,2020,168,129
Scooter,Bajaj,Chetak,2022,343,119
Car,Hyundai,Kona Electric,2021,388,87
Bike,PURE EV,eTryst 350,2020,353,99
Scooter,TVS,iQube,2021,459,151
Scooter,TVS,iQube,2020,294,114
Scooter,Ather,450X,2021,459,146
Scooter,Hero Electric,Optima,2023,136,87
Car,BYD,Atto 3,2021,376,77
Bike,Ultraviolette,F77,2021,196,79
Scooter,Bajaj,Chetak,2023,130,160
Car,BYD,Atto 3,2023,482,175
Scooter,Ola Electric,S1 Pro,2020,375,89
Bike,Oben Electric,Rorr,2021,206,69
Bike,Tork Motors,Kratos,2021,246,150
Scooter,TVS,iQube,2020,388,175
Bike,Oben Electric,Rorr,2020,351,137
Car,Mahindra,eVerito,2020,203,131
Car,Hyundai,Kona Electric,2019,331,73
Scooter,Ather,450X,2021,278,139
Car,Hyundai,Kona Electric,2022,181,114
Scooter,TVS,iQube,2021,420,96
Scooter,Ola Electric,S1 Pro,2022,194,165
Bike,Revolt Motors,RV400,2022,298,179
Bike,Ultraviolette,F77,2019,217,168
Car,MG,ZS EV,2022,283,176
Scooter,Ola Electric,S1 Pro,2020,375,114
Scooter,Hero Electric,Optima,2021,79,63
Car,Hyundai,Kona Electric,2023,85,138
Car,Hyundai,Kona Electric,2020,250,151
Bike,Tork Motors,Kratos,2019,400,107
Scooter,Bajaj,Chetak,2021,341,126
Scooter,TVS,iQube,2019,84,132
Scooter,Bajaj,Chetak,2020,148,122
Scooter,Bajaj,Chetak,2019,265,117
Bike,Ultraviolette,F77,2020,382,107
Scooter,Ather,450X,2020,354,178
Car,Tata Motors,Nexon EV,2022,91,67
Scooter,Ola Electric,S1 Pro,2021,363,87
Car,Tata Motors,Nexon EV,2023,189,81
Bike,Revolt Motors,RV400,2021,126,127
Scooter,Bajaj,Chetak,2022,222,151
Scooter,Ather,450X,2019,201,94
Car,MG,ZS EV,2020,292,142
Scooter,Bajaj,Chetak,2022,311,130
Car,Tata Motors,Nexon EV,2022,90,129
Bike,Tork Motors,Kratos,2019,82,92
Car,Hyundai,Kona Electric,2023,166,89
Bike,Tork Motors,Kratos,2023,490,112
Bike,Oben Electric,Rorr,2022,274,136
Bike,PURE EV,eTryst 350,2023,93,61
Scooter,Ola Electric,S1 Pro,2021,242,113
Bike,Oben Electric,Rorr,2022,188,103
Bike,PURE EV,eTryst 350,2020,232,99
Bike,Revolt Motors,RV400,2023,162,66
Car,Hyundai,Kona Electric,2021,471,123
Bike,PURE EV,eTryst 350,2021,128,152
Car,Tata Motors,Nexon EV,2019,218,99
Scooter,Hero Electric,Optima,2023,216,118
Scooter,Hero Electric,Optima,2020,428,101
Scooter,Ather,450X,2020,274,95
Bike,Revolt Motors,RV400,2020,477,159
Scooter,TVS,iQube,2019,205,147
Bike,Ultraviolette,F77,2023,98,120
Scooter,Ather,450X,2020,190,126
Bike,Oben Electric,Rorr,2020,382,129
Scooter,TVS,iQube,2023,386,163
Car,BYD,Atto 3,2021,82,173
Bike,Oben Electric,Rorr,2023,146,153
Scooter,TVS,iQube,2022,132,105
Scooter,Bajaj,Chetak,2023,328,171
Scooter,TVS,iQube,2020,257,171
Scooter,Bajaj,Chetak,2020,208,151
Car,BYD,Atto 3,2021,382,154
Scooter,TVS,iQube,2022,255,117
Scooter,Bajaj,Chetak,2022,425,134
Scooter,Ather,450X,2022,244,110
Scooter,Ola Electric,S1 Pro,2022,301,112
Car,BYD,Atto 3,2019,495,144
Bike,Revolt Motors,RV400,2020,283,132
Scooter,Ather,450X,2022,443,171
Car,Tata Motors,Nexon EV,2019,377,60
Scooter,Ather,450X,2021,444,98
Bike,Oben Electric,Rorr,2021,399,174
Scooter,Bajaj,Chetak,2023,335,132
Scooter,Ather,450X,2019,166,147
Bike,Tork Motors,Kratos,2023,165,117
Car,Hyundai,Kona Electric,2021,477,156
Bike,PURE EV,eTryst 350,2019,491,104
Car,MG,ZS EV,2021,290,175
Scooter,TVS,iQube,2023,105,90
Scooter,Ather,450X,2022,221,140
Car,Hyundai,Kona Electric,2023,153,119
Car,Tata Motors,Nexon EV,2023,464,136
Bike,Oben Electric,Rorr,2022,77,130
Bike,Oben Electric,Rorr,2020,248,150
Scooter,Ather,450X,2020,253,150
Scooter,Ola Electric,S1 Pro,2019,214,108
Car,BYD,Atto 3,2022,435,162
Scooter,Hero Electric,Optima,2020,464,64
Car,Hyundai,Kona Electric,2019,226,129
Bike,PURE EV,eTryst 350,2022,352,110
Scooter,Ather,450X,2023,478,116
Car,Hyundai,Kona Electric,2019,432,167
Bike,Oben Electric,Rorr,2023,358,170
Car,MG,ZS EV,2020,299,73
Bike,Ultraviolette,F77,2020,302,78
Scooter,TVS,iQube,2019,172,96
Car,Hyundai,Kona Electric,2020,321,156
Car,BYD,Atto 3,2023,107,176
Car,Tata Motors,Nexon EV,2019,403,66
Car,Tata Motors,Nexon EV,2020,111,174
Car,Tata Motors,Nexon EV,2022,329,168
Bike,Tork Motors,Kratos,2022,460,83
Scooter,TVS,iQube,2022,383,90
Bike,Oben Electric,Rorr,2023,135,114
Car,BYD,Atto 3,2022,488,103
Car,BYD,Atto 3,2021,316,100
Scooter,Bajaj,Chetak,2023,339,169
Scooter,Bajaj,Chetak,2020,192,83
Scooter,Hero Electric,Optima,2020,300,86
Car,MG,ZS EV,2023,463,91
Scooter,Ola Electric,S1 Pro,2023,124,134
Bike,Tork Motors,Kratos,2019,319,156
Scooter,TVS,iQube,2023,493,179
Car,Hyundai,Kona Electric,2023,480,63
Scooter,Ather,450X,2020,77,66
Bike,PURE EV,eTryst 350,2023,472,94
Bike,Revolt Motors,RV400,2019,497,70
Scooter,Bajaj,Chetak,2022,390,120
Car,BYD,Atto 3,2019,432,143
Bike,Revolt Motors,RV400,2022,286,144
Bike,Ultraviolette,F77,2022,275,82
Car,BYD,Atto 3,2021,235,73
Scooter,Bajaj,Chetak,2020,86,74
Bike,Tork Motors,Kratos,2021,337,75
Scooter,Ola Electric,S1 Pro,2020,466,84
Car,Tata Motors,Nexon EV,2022,282,171
Scooter,Ola Electric,S1 Pro,2019,360,111
Car,BYD,Atto 3,2020,129,151
Bike,Ultraviolette,F77,2020,248,169
Bike,Revolt Motors,RV400,2023,247,96
Car,Hyundai,Kona Electric,2023,453,128
Bike,Revolt Motors,RV400,2019,251,173
Scooter,Ather,450X,2021,318,122
Bike,Revolt Motors,RV400,2022,320,164
Car,Tata Motors,Nexon EV,2020,266,170
Car,Tata Motors,Nexon EV,2019,223,75
Bike,Ultraviolette,F77,2021,276,120
Car,Tata Motors,Nexon EV,2022,121,76
Scooter,Hero Electric,Optima,2021,163,172
Bike,Tork Motors,Kratos,2021,260,150
Car,Mahindra,eVerito,2021,328,170
Car,Hyundai,Kona Electric,2023,266,119
Bike,Oben Electric,Rorr,2020,196,99
Scooter,Ola Electric,S1 Pro,2020,386,127
Car,Mahindra,eVerito,2022,111,109
Car,Mahindra,eVerito,2020,108,102
Bike,Oben Electric,Rorr,2020,217,144
Car,MG,ZS EV,2021,238,137
Bike,Tork Motors,Kratos,2019,336,88
Car,MG,ZS EV,2022,267,155
Scooter,Ather,450X,2021,207,170
Scooter,TVS,iQube,2019,309,169
Scooter,TVS,iQube,2023,297,63
Car,BYD,Atto 3,2023,443,82
Bike,Revolt Motors,RV400,2023,409,120
Scooter,Hero Electric,Optima,2022,350,90
Car,MG,ZS EV,2020,369,142
Car,MG,ZS EV,2020,287,148
Scooter,Hero Electric,Optima,2021,409,113
Scooter,Hero Electric,Optima,2023,102,65
Bike,Tork Motors,Kratos,2019,313,134
Scooter,Bajaj,Chetak,2022,379,79
Scooter,TVS,iQube,2019,335,98
Car,Tata Motors,Nexon EV,2023,189,100
Scooter,Ola Electric,S1 Pro,2022,343,109
Car,MG,ZS EV,2019,333,139
Car,Tata Motors,Nexon EV,2023,142,107
Bike,Ultraviolette,F77,2020,411,161
Car,MG,ZS EV,2022,119,131
Scooter,TVS,iQube,2019,429,144
Car,Hyundai,Kona Electric,2019,248,82
Bike,Tork Motors,Kratos,2020,400,155
Scooter,Ola Electric,S1 Pro,2019,403,119
Bike,PURE EV,eTryst 350,2022,152,126
Scooter,Bajaj,Chetak,2022,124,149
Scooter,Bajaj,Chetak,2022,144,163
Car,Mahindra,eVerito,2019,476,172
Scooter,Bajaj,Chetak,2023,400,120
Car,Mahindra,eVerito,2019,302,162
Car,BYD,Atto 3,2022,263,171
Car,Tata Motors,Nexon EV,2021,463,112
Scooter,Bajaj,Chetak,2022,278,102
Scooter,Bajaj,Chetak,2019,437,124
Car,Tata Motors,Nexon EV,2020,352,154
Bike,Ultraviolette,F77,2023,140,88
Bike,PURE EV,eTryst 350,2020,254,159
Scooter,Hero Electric,Optima,2020,470,64
Bike,Revolt Motors,RV400,2019,112,85
Car,MG,ZS EV,2020,335,73
Bike,Tork Motors,Kratos,2020,219,103
Car,Tata Motors,Nexon EV,2021,467,120
Bike,Revolt Motors,RV400,2021,214,137
Car,Tata Motors,Nexon EV,2023,149,103
Car,BYD,Atto 3,2022,170,104
Scooter,Ola Electric,S1 Pro,2022,283,179
Car,MG,ZS EV,2020,112,141
Car,BYD,Atto 3,2021,316,120
Car,Hyundai,Kona Electric,2019,465,154
Scooter,Ather,450X,2021,334,121
Scooter,TVS,iQube,2023,95,110
Car,Tata Motors,Nexon EV,2019,91,176
Scooter,Bajaj,Chetak,2023,184,162
Car,MG,ZS EV,2023,433,85
Bike,Revolt Motors,RV400,2023,281,154
Scooter,Ola Electric,S1 Pro,2021,435,153
Car,BYD,Atto 3,2020,362,165
Scooter,Hero Electric,Optima,2020,493,70
Bike,Revolt Motors,RV400,2021,262,176
Car,Tata Motors,Nexon EV,2020,150,146
Scooter,Ola Electric,S1 Pro,2020,443,165
Bike,Revolt Motors,RV400,2019,427,63
Car,BYD,Atto 3,2023,322,121
Car,BYD,Atto 3,2019,373,139
Bike,Ultraviolette,F77,2020,449,99
Car,Mahindra,eVerito,2020,177,95
Bike,Revolt Motors,RV400,2021,273,149
Bike,Revolt Motors,RV400,2019,243,133
Car,Tata Motors,Nexon EV,2023,185,175
Bike,Ultraviolette,F77,2019,80,63
Bike,Revolt Motors,RV400,2019,426,86
Car,Hyundai,Kona Electric,2021,78,85
Car,BYD,Atto 3,2020,378,124
Scooter,TVS,iQube,2019,213,93
Bike,Ultraviolette,F77,2019,211,173
Scooter,Ola Electric,S1 Pro,2022,467,103
Bike,Ultraviolette,F77,2021,116,62
Bike,Revolt Motors,RV400,2023,177,164
Car,MG,ZS EV,2019,494,154
Car,MG,ZS EV,2019,465,110
Car,BYD,Atto 3,2022,435,171
Bike,Revolt Motors,RV400,2023,323,149
Car,Mahindra,eVerito,2021,197,101
Car,BYD,Atto 3,2020,334,85
Bike,Tork Motors,Kratos,2021,488,64
Car,MG,ZS EV,2023,456,114
Bike,Tork Motors,Kratos,2023,339,85
Scooter,Hero Electric,Optima,2023,406,96
Car,Tata Motors,Nexon EV,2020,233,70
Car,Tata Motors,Nexon EV,2023,475,78
Bike,Ultraviolette,F77,2021,190,139
Scooter,TVS,iQube,2019,226,144
Bike,Revolt Motors,RV400,2023,138,121
Car,Mahindra,eVerito,2023,488,130
Car,MG,ZS EV,2020,91,173
Scooter,Ola Electric,S1 Pro,2021,368,136
Scooter,Ola Electric,S1 Pro,2019,304,177
Scooter,Hero Electric,Optima,2023,398,107
Scooter,Ola Electric,S1 Pro,2019,85,118
Car,Mahindra,eVerito,2020,324,141
Car,Hyundai,Kona Electric,2023,338,147
Car,Mahindra,eVerito,2019,394,94
Scooter,TVS,iQube,2022,187,135
Car,BYD,Atto 3,2020,205,78
Scooter,Ola Electric,S1 Pro,2023,194,156
Car,Tata Motors,Nexon EV,2023,229,132
Scooter,Ather,450X,2021,483,93
Car,Tata Motors,Nexon EV,2022,347,136
Car,BYD,Atto 3,2019,354,123
Scooter,Hero Electric,Optima,2023,344,90
Car,Tata Motors,Nexon EV,2020,308,86
Scooter,Bajaj,Chetak,2022,401,143
Car,Mahindra,eVerito,2021,481,120
Scooter,Ola Electric,S1 Pro,2019,115,156
Bike,Oben Electric,Rorr,2021,307,124
Car,MG,ZS EV,2023,315,163
Bike,PURE EV,eTryst 350,2019,427,91
Bike,Revolt Motors,RV400,2022,145,133
Bike,PURE EV,eTryst 350,2022,132,70
Car,MG,ZS EV,2020,494,74
Car,BYD,Atto 3,2019,444,63
Scooter,Ola Electric,S1 Pro,2022,108,86
Car,MG,ZS EV,2023,254,85
Bike,Oben Electric,Rorr,2023,243,100
Scooter,Bajaj,Chetak,2020,466,139
Bike,Oben Electric,Rorr,2021,495,77
Scooter,TVS,iQube,2023,392,82
Bike,Ultraviolette,F77,2022,334,109
Bike,Oben Electric,Rorr,2021,406,105
Car,Tata Motors,Nexon EV,2019,407,72
Bike,Oben Electric,Rorr,2021,99,118
Car,MG,ZS EV,2023,226,103
Scooter,TVS,iQube,2020,93,137
Car,MG,ZS EV,2019,282,169
Bike,Ultraviolette,F77,2019,83,122
Bike,Revolt Motors,RV400,2019,278,89
Car,Hyundai,Kona Electric,2023,288,69
Scooter,Hero Electric,Optima,2019,218,172
Bike,Revolt Motors,RV400,2020,453,157
Scooter,Bajaj,Chetak,2021,417,167
Bike,Oben Electric,Rorr,2023,320,155
Scooter,Bajaj,Chetak,2022,266,129
